Ticker,Company_Name,Sector,Industry,First_Available_Date,Last_Available_Date,Total_Days,Market_Cap,IPO_Year
AAPL,Apple Inc. Common Stock,Technology,Consumer Electronics,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,3986216452096,1985
CMCSA,Comcast Corporation Class A Common Stock,Communication Services,Telecom Services,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,99514761216,1985
PAYX,"Paychex, Inc. Common Stock",Technology,Software - Application,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,40603258880,1985
PCAR,PACCAR Inc. Common Stock,Industrials,Farm & Heavy Construction Machinery,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,51617083392,1985
HON,Honeywell International Inc. Common Stock,Industrials,Conglomerates,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,124380758016,1985
PEP,"PepsiCo, Inc. Common Stock",Consumer Defensive,Beverages - Non-Alcoholic,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,193588019200,1985
CSX,CSX Corporation Common Stock,Industrials,Railroads,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,65472733184,1985
CTAS,Cintas Corporation Common Stock,Industrials,Specialty Business Services,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,74301128704,1985
LRCX,Lam Research Corporation Common Stock,Technology,Semiconductor Equipment & Materials,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,203715493888,1985
MU,"Micron Technology, Inc. Common Stock",Technology,Semiconductors,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,267517329408,1985
XEL,Xcel Energy Inc. Common Stock,Utilities,Utilities - Regulated Electric,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,47642615808,1985
KLAC,KLA Corporation Common Stock,Technology,Semiconductor Equipment & Materials,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,158511710208,1985
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,146633588736,1985
AMGN,Amgen Inc. Common Stock,Healthcare,Drug Manufacturers - General,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,169939107840,1985
AMD,"Advanced Micro Devices, Inc. Common Stock",Technology,Semiconductors,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,386985492480,1985
AMAT,"Applied Materials, Inc. Common Stock",Technology,Semiconductor Equipment & Materials,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,186039910400,1985
AEP,"American Electric Power Company, Inc. Common Stock",Utilities,Utilities - Regulated Electric,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,63980298240,1985
INTC,Intel Corporation Common Stock,Technology,Semiconductors,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,177485856768,1985
EXC,Exelon Corporation Common Stock,Utilities,Utilities - Regulated Electric,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,46088949760,1985
ADP,"Automatic Data Processing, Inc. Common Stock",Technology,Software - Application,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,102066683904,1985
ADI,"Analog Devices, Inc. Common Stock",Technology,Semiconductors,1985-01-31 00:00:00-05:00,2025-11-05 00:00:00-05:00,10271,114566578176,1985
ADSK,"Autodesk, Inc. Common Stock",Technology,Software - Application,1985-06-28 00:00:00-04:00,2025-11-05 00:00:00-05:00,10168,62805176320,1985
ROST,"Ross Stores, Inc. Common Stock",Consumer Cyclical,Apparel Retail,1985-08-08 00:00:00-04:00,2025-11-05 00:00:00-05:00,10140,52111003648,1985
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,1985-12-09 00:00:00-05:00,2025-11-05 00:00:00-05:00,10056,64746950656,1985
MSFT,Microsoft Corporation Common Stock,Technology,Software - Infrastructure,1986-03-13 00:00:00-05:00,2025-11-05 00:00:00-05:00,9991,3694634991616,1986
COST,Costco Wholesale Corporation Common Stock,Consumer Defensive,Discount Stores,1986-07-09 00:00:00-04:00,2025-11-05 00:00:00-05:00,9910,409311412224,1986
